GISID,CALENDAR_YEAR,STATE_ROUTE,LOC_ROAD_NAME_RMS,INTERSECTION_FROM,SEGMENT_FROM,OFFSET_FROM,INTERSECTION_TO,SEGMENT_TO,OFFSET_TO,MUNICIPALITY_NAME1,MUNICIPALITY_NAME2,MUNICIPALITY_NAME3,LEG_DIST_1,LEG_DIST_2,LEG_DIST_3,SENATORIAL_DIST_1,SENATORIAL_DIST_2,CONG_DISTRICT,PLANNED,COUNTY,CNT_CODE,NLF_ID,NLF_B,NLF_E,PRIORITY,NOTES,SR,LIMITS_FROM,LIMITS_TO,MCD,BIKE_PROPOSED,BIKE_NOTES,BIKELTS_EXIST,BIKELTS_IMP,LTS_PRIORITY,PRIORITY_NOTES,PROPOSAL_SOURCE,PROJECTNUM,LETDATE,STARTWORK,CONSTRUCTIONRE,MCD_INTEREST,MCD_CONTACT,DVRPCSCREENING,PENNDOTSCREENING,DISMAINTENANCE,DATECOMMUNICATION,DATARECEIPT,DATEISSUANCE,DESIGNER,DATEASSIGNED,DATECOMPLTED,PENNDOTNOTS,COUNTYNOTES,BCGPNOTES,ISACTIVE,LASTUPDATE,SEG_REGI_PRIO,SEG_COUNTY_PRIO,SEG_PUB_PRIO,FACILITYIMP,PENNFEASISCREEN,PENNFEASISCREENNOTE,DATELETTER,OUTREACHNOTE,DVRPCNOTES,ADMINSELECTED,ALTERFUNDSTREAM,FUNDOPPORTNITY,FUNDNOTES,BATCHNUM,STRIPINGCOMPLETE,STRIPINGREVIEW,SIGNALREVISED,HASSIGNAGE,SIGNAGECOMPLETE,STRIPINGSHARE,OUTREACH_PRIORITIZED,SHORTCODE,LONGCODE,CHANGECODE,SOURCE,PROJECTECMS,ESTQUANTITIES,BFL_FROM,BFL_TO,SIGNALASSIGE,SIGNALCOMPLETED,NOTIFYCOUNTY
2192,2024,13,CHESTER PK,Morton Ave / SR 2028 / Ninth St,130,0,Stuart Ave,210,2968,RIDLEY PARK,PROSPECT PARK,NORWOOD,,,,,,,4.84,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,001301300210,00130130000002102968,3,5-year plan 2020-2024,,,,,,,
2193,2024,13,CHESTER PK,Morton Ave / SR 2028 / Ninth St,141,0,Stuart Ave,211,2987,RIDLEY PARK,PROSPECT PARK,NORWOOD,,,,,,,4.24,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,001301410211,00130141000002112987,3,5-year plan 2020-2024,,,,,,,
2194,2024,2025,BRISTOL RD,Branch of Mill Creek / Bridge,52,0,York Rd / SR 0263,114,1871,WARWICK,WARRINGTON,WARMINSTER,,,,,,,4.67,Bucks,9,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,202500520114,20250052000001141871,3,5-year plan 2020-2024,,,,,,,
2195,2024,2048,STATE ST,92' S of Lincoln Ave,20,0,75' W of Newtown Creek bridge,30,1017,NEWTOWN,,,,,,,,,0.91,Bucks,9,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,204800200030,20480020000000301017,3,5-year plan 2020-2024,,,,,,,
2197,2023,2036,TYSON AV,Edgehill Rd / SR 2034,21,0,Edgehill Rd / SR 2034,21,3964,ABINGTON,,,,,,,,,0.75,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,203600210021,20360021000000213964,3,5-year plan 2020-2024,,,,,,,
2198,2024,1001,ALLENTOWN RD,Harleysville Pk / SR 0113,170,0,County Line Rd/ SR 4027,230,3101,SALFORD,FRANCONIA,,,,,,,,3.92,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,100101700230,10010170000002303101,3,5-year plan 2020-2024,,,,,,,
2199,2024,3011,BARREN HILL RD,Ridge Pk,10,0,Hector St/SR 3058,40,2547,WHITEMARSH,,,,,,,,,1.74,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,301100100040,30110010000000402547,3,5-year plan 2020-2024,,,,,,,
2200,2024,3029,HENDERSON RD,South Gulph Rd/ SR 3039,10,0,Prince Frederick St,24,2941,UPPER MERION,,,,,,,,,1.64,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,302900100024,30290010000000242941,3,5-year plan 2020-2024,,,,,,,
2201,2024,3019,SPRING MILL RD,Burnt Mill Rd / SR 3038,10,0,Norway Rd,20,3607,KENNETT,,,,,,,,,1.0,Chester,15,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,301900100020,30190010000000203607,3,5-year plan 2020-2024,,,,,,,
2202,2024,3029,HENDERSON RD,South Gulph Rd/ SR 3039,25,0,Prince Frederick St,25,2941,UPPER MERION,,,,,,,,,0.56,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,302900250025,30290025000000252941,3,5-year plan 2020-2024,,,,,,,
2203,2024,3052,ROCKHILL RD,Conshohocken State Rd/ SR 0023,10,0,Belmont Ave/ SR 3045,10,3195,LOWER MERION,,,,,,,,,0.61,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,305200100010,30520010000000103195,3,5-year plan 2020-2024,,,,,,,
2204,2022,3061,QUARRY RD,Valley Creek Rd,131,0,Lancaster Ave / SR 3070,131,1573,EAST CALN,,,,,,,,,0.3,Chester,15,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,306101310131,30610131000001311573,3,5-year plan 2020-2024,,,,,,,
2206,2023,401,CONESTOGA RD,Kimberton Rd / SR 0113,240,0,Phoenixville Pk,310,2325,WEST VINCENT,WEST PIKELAND,UPPER UWCHLAN,,,,,,,4.0,Chester,15,,,,0,,,,,,N/A," No consistent segments where adding bike facilities makes sense. Speeds always between 35-45. AADT's of 10,000+ throughout. For the short portion of roadway between Upper and Lower Pine Creek, which is noted in the local comprehensive plan, share the road signage might be appropriate. ",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, ," West Pikeland's 2010 Comprehensive Plan shows a very small portion of this segment designated as an ""intermediate recreation"" route. See attached map. ", ,No,2021-06-09 10:00:12,No,Yes,No,No,N/A,,,, LTS 4,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,040102400310,04010240000003102325,3,5-year plan 2020-2024,,,,,,,
2207,2023,3103,NORTH CREEK RD,London Britain Twp. Line,30,0,Wickerton Rd / SR 0841,40,1783,FRANKLIN,,,,,,,,,0.85,Chester,15,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, , Not a county / township priority., ,No,2021-05-13 12:00:40,No,No,No,N/A,N/A,,,, LTS 4,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,310300300040,31030030000000401783,3,5-year plan 2020-2024,,,,,,,
2208,2023,4001,OLD WILMINGTON,Valley Rd / SR 0372,10,0,Kings Hwy / SR 0340,94,2600,WEST CALN,SADSBURY,,,,,,,,5.01,Chester,15,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, , , ,No,2021-05-21 13:14:22,No,No,No,N/A,N/A,,,, LTS 4,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,400100100094,40010010000000942600,3,5-year plan 2020-2024,,,,,,,
2210,2023,4005,CALN RD,Fisherville Rd / SR 4022,160,0,Lincoln Hwy / SR 3070,170,3776,CALN,,,,,,,,,1.35,Chester,15,,,,20,,,,,,N/A," Steep topography, narrow right of way (~24 ft), 35 mph posted speeds, lots of sharp turns. Not a good candidate for bicycle facilities despite the LTS connections it would provide. ",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, , This is a giant hill- I doubt there is much cycling demand., Good road to pave.  Not necessarily highly trafficed by cyclists. CVT West in Caln. 1.3 miles west of SEPTA Thorndale station,No,2021-06-14 09:22:48,Yes,No,Yes,No,N/A,,,, Top 20-50%. ,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,400501600170,40050160000001703776,3,5-year plan 2020-2024,,,,,,,
2211,2023,4043,ST PETERS RD,Scool Rd / SR 4041,10,0,Temple Rd,70,1664,WARWICK,NORTH COVENTRY,,,,,,,,4.87,Chester,15,,,,0,,,,,,Signage, Narrow and low volume rural roadway. Share the road signage is appropriate here. ,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, ," This is such a scenic road, and relatively flat considering the area. It's in an area with a ton of outdoor recreation- St. Peter's Village, French Creek State Park, Crow's Nest Preserve. ",Popular road bike route. The only bike improvement possible besides signage would be traffic calming or removing the centerline where possible.,Yes,2021-06-09 16:17:12,No,Yes,No,Yes,N/A,,,, LTS 4,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,404300100070,40430010000000701664,3,5-year plan 2020-2024,,,,,,,
2212,2024,29,MOREHALL RD,Lancaster Ave / SR 0030,10,0,Phoenixville Pk / SR 1003 / Charlestown Rd / SR 1019,70,1310,EAST WHITELAND,CHARLESTOWN,,,,,,,,2.6,Chester,15,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,002900100070,00290010000000701310,3,5-year plan 2020-2024,,,,,,,
2213,2024,29,MOREHALL RD,Lancaster Ave / SR 0030,11,0,Phoenixville Pk / SR 1003 / Charlestown Rd / SR 1019,71,1288,EAST WHITELAND,CHARLESTOWN,,,,,,,,2.6,Chester,15,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,002900110071,00290011000000711288,3,5-year plan 2020-2024,,,,,,,
2214,2024,796,DALEVILLE JENNE,Newark Rd / SR 0896,10,0,Gap Newport Pk / SR 0041,110,3137,PENN,NEW LONDON,LONDONDERRY,,,,,,,5.79,Chester,15,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,079600100110,07960010000001103137,3,5-year plan 2020-2024,,,,,,,
2215,2024,1030,BIRCH RUN RD,Pottstown Pk / SR 0100,10,0,Birch Run / Bridge,70,3337,WEST VINCENT,,,,,,,,,3.98,Chester,15,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,103000100070,10300010000000703337,3,5-year plan 2020-2024,,,,,,,
2216,2024,3007,FLOURTOWN RD,Stenton Ave/ SR 3003,10,0,Sandy Hill Rd / SR 3009,70,2815,WHITEMARSH,PLYMOUTH,,,,,,,,4.06,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,300700100070,30070010000000702815,4,5-year plan 2020-2024,,,,,,,
2070,2023,4018,GAME FARM RD,Pheasant Rd/SR 4019,40,0,Old Ksippack Pk/SR 1017,130,2273,SCHWENKSVILLE,UPPER SALFORD,PERKIOMEN,,,,,,,5.92,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A, ,,,,N/A,,,,,,,,,,, ," This road is not on Bike Montco and is a narrow road <20', mostly little or no shoulder.", Narrow road (40  MPH). Connects to Perkiomen Trail.,No,2021-09-08 10:33:20,No,No,No,N/A,N/A,,,, LTS 4,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,401800400130,40180040000001302273,0,5-year plan 2020-2024, ,, , , ,,
2071,2023,4042,GROSSTOWN RD,High St/SR 4031,10,0,Manatowny St/SR 4037,34,1533,WEST POTTSGROVE,,,,,,,,,1.78,Montgomery,46,,,,0,,,,,,bike lanes,"most of the corridor is 30' wide, providing room for two 10' travel lanes and two 5' bike lanes. North of Roberts Drive, the roadway narrows and has an underpass and bridge, limiting the width and only providing space for sharrows.  ",0,0,N/A,,N/A,,,,,N/A, ,,,, ,,,,,, , , Schuylkill River Trail Connection and expansion of the Pottstown area bike network,Yes,2021-09-13 14:27:56,No,Yes,Yes,Yes,N/A,, , , LTS 3 and 4; tiny portion of potential connection to transit. Seems to have been reviewed earlier.,Y,N/A,,,,N/A,N/A,N/A,N/A,,,Yes,404200100034,40420010000000341533,0,5-year plan 2020-2024,,,,,,,
2074,2021,4099,COVERED BRIDGE,Tohickon Creek / Bridge,10,0,Thatcher Rd / SR 4043,10,1519,HAYCOCK,,,,,,,,,0.29,Bucks,9,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A, Chris Bauer- 215.536.3641,,,, ,,,,,,,,,No,2020-04-14 15:03:23,No,No,No,N/A,N/A,, , ,,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,409900100010,40990010000000101519,0,5-year plan 2020-2024,,,,,,,
146,2018,0010,COMPASS RD,Kings Hwy / SR 0340,0360,1416,Old Philadelphia Pk / SR 0340,0360,2196,WEST CALN,,,026,,,44,,7,0.15,Chester,15,2764,98388,99168,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,001003600360,00100360141603602196,0,5-year plan 2019-2023,,,,,,,
147,2018,0029,MANAVON ST,Pothouse Rd / SR 1036,0150,0,Montgomery Co. Line,0190,844,PHOENIXVILLE,SCHUYLKILL,,157,,,19,,6,1.82,Chester,15,2766,31105,40695,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,002901500190,00290150000001900844,0,5-year plan 2019-2023,,,,,,,
148,2018,0030,COATESVLE DOWNI,Reeceville Rd / SR 4005,0210,0,US 30 Bus,0340,613,DOWNINGTOWN,EAST CALN,CALN,074,,,44,,7,6.24,Chester,15,2768,52675,85621,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,003002100340,00300210000003400613,0,5-year plan 2019-2023,,,,,,,
149,2018,0030,COATESVLE DOWNI,Reeceville Rd / SR 4005,0211,0,US 30 Bus,0341,721,DOWNINGTOWN,EAST CALN,CALN,074,,,44,,7,6.25,Chester,15,2771,42125,75120,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,003002110341,00300211000003410721,0,5-year plan 2019-2023,,,,,,,
